cell_id,cell_lat,cell_lon,city,sector_main,entity_count_real,entity_count_total,density_log,active_rate,capital_median,capital_mean,capital_max,sector_diversity,formal_ratio,sarl_count,sa_count,attractivity_score,attractivity_class,zone_name,district,region_name,display_name
2442_-433,33.00545,-7.631115,Settat,Construction,17,17,2.8903717578961645,1.0,100000.0,161875.0,1000000.0,0.7820695495403381,0.4117647058823529,6,1,69.06,Fort,Hay Kassam,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Kassam - Settat ⵥⵟⵟⴰⵟ سطات
2442_-433,33.00545,-7.631115,Settat,Healthcare,3,3,1.3862943611198906,0.5,100000.0,216569.2307692308,1000000.0,0.7820695495403381,0.0,0,0,24.33,Faible,Hay Kassam,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Kassam - Settat ⵥⵟⵟⴰⵟ سطات
2442_-433,33.00545,-7.631115,Settat,Information Technology,6,6,1.9459101490553128,1.0,100000.0,115000.0,200000.0,0.7820695495403381,0.6666666666666666,4,0,62.05,Moyen,Hay Kassam,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Kassam - Settat ⵥⵟⵟⴰⵟ سطات
2458_-482,33.2293229,-8.4993567,El Jadida,Commerce,54,54,4.007333185232471,0.5,100000.0,304074.0740740741,2500000.0,0.7255609756707548,0.0,0,0,48.99,Faible,Coop. Ennajd,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Coop. Ennajd - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2458_-482,33.2293229,-8.4993567,El Jadida,Construction,3,3,1.3862943611198906,1.0,100000.0,70000.0,100000.0,0.7255609756707548,0.0,0,0,49.72,Faible,Coop. Ennajd,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Coop. Ennajd - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2458_-482,33.2293229,-8.4993567,El Jadida,Education,31,31,3.4657359027997265,0.5,100000.0,216569.2307692308,1000000.0,0.7255609756707548,0.0,0,0,43.69,Faible,Coop. Ennajd,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Coop. Ennajd - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2458_-482,33.2293229,-8.4993567,El Jadida,Finance,189,189,5.247024072160486,0.5,100000.0,200000.0,250000.0,0.7255609756707548,0.0,0,0,61.13,Moyen,Coop. Ennajd,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Coop. Ennajd - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2458_-482,33.2293229,-8.4993567,El Jadida,Healthcare,398,398,5.988961416889864,0.5,100000.0,216569.2307692308,1000000.0,0.7255609756707548,0.0,0,0,68.4,Fort,Coop. Ennajd,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Coop. Ennajd - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2458_-482,33.2293229,-8.4993567,El Jadida,Other,121,121,4.804021044733257,0.5,100000.0,244583.3333333333,1500000.0,0.7255609756707548,0.0,0,0,56.79,Moyen,Coop. Ennajd,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Coop. Ennajd - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
2458_-482,33.2293229,-8.4993567,El Jadida,Professional Services,57,57,4.060443010546419,0.5,100000.0,170000.0,500000.0,0.7255609756707548,0.0,0,0,49.51,Faible,Coop. Ennajd,Province d'El Jadida إقليم الجديدة,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Coop. Ennajd - pachalik d'El Jadida ⵍⵊⴰⴷⵉⴷⴰ الجديدة
