cell_id,cell_lat,cell_lon,city,entity_count_real,entity_count_total,active_rate,capital_median,capital_mean,capital_max,sector_diversity,formal_ratio,sarl_count,sa_count,attractivity_score,attractivity_class,n_sectors_present,dominant_sector,density_log,cluster_label
2484_-429,33.5691451409,-7.5555955,Casablanca,216,216,0.8992107012102698,100000.0,1133592.9441481172,17000000.0,0.7818720712264879,0.22274812571156605,54,10,61.402,Fort,10,Commerce,5.37989735354046,2
2484_-430,33.570022,-7.58374687999,Casablanca,158,158,0.8120704384268214,100000.0,173840.88078588078,2500000.0,0.8197905494509031,0.1902955745235157,34,3,54.686,Faible,10,Commerce,5.0689042022202315,2
2484_-431,33.573254,-7.597602,Casablanca,446,446,0.930940328328388,100000.0,141814082.64374667,79869911040.0,0.8324264907977303,0.19635364635364635,109,18,68.59363636363636,Fort,11,Commerce,6.102558594613569,2
2484_-432,33.573978,-7.615117,Casablanca,466,466,0.8690298739931093,100000.0,605548.2623382068,100000000.0,0.8205929202380865,0.17507685517791902,85,19,64.32000000000001,Fort,12,Commerce,6.1463292576688975,2
2484_-433,33.5771,-7.626091,Casablanca,1317,1317,0.8947640475897203,100000.0,1449134.7211416229,500000000.0,0.8346581335541119,0.20281940800534995,211,52,73.65307692307692,Fort,13,Commerce,7.183870715062453,2
2484_-434,33.5725287,-7.645361,Casablanca,554,554,0.8259266914439328,100000.0,85858993.8218678,79869911040.0,0.8589254328360356,0.16900323140245432,100,25,64.51333333333334,Fort,12,Commerce,6.318968113746434,2
2484_-435,33.5737,-7.667535,Casablanca,161,161,0.9236487775790101,100000.0,370891.1861781629,8000000.0,0.8109600257038123,0.2002539682539682,34,8,59.98,Moyen,10,Commerce,5.087596335232384,2
2484_-436,33.5696425741,-7.6834683,Casablanca,48,48,0.8484848484848484,100000.0,962556.2703962704,16000000.0,0.8046834582637913,0.24787878787878787,8,0,53.576,Moyen,5,Healthcare,3.8918202981106265,1
2484_-437,33.5756993,-7.7070327,Casablanca,2730,2730,0.6111111111111112,100000.0,171552.42165242168,1500000.0,0.7546830872765655,0.0,0,0,66.14111111111112,Fort,9,Healthcare,7.912423121473705,2
2485_-425,33.588406,-7.498113,Casablanca,159,159,0.9679330065359477,100000.0,268724.59709119494,13050000.0,0.8086970383099938,0.19546568627450978,16,6,64.13499999999999,Fort,8,Construction,5.075173815233827,2
2485_-426,33.5822666,-7.5089036,Casablanca,29,29,0.6666666666666666,100000.0,174327.4928774929,2500000.0,0.8206674022295637,0.0,0,0,40.1675,Faible,4,Healthcare,3.4011973816621555,0
2485_-427,33.587208000000004,-7.5241164463,Casablanca,30,30,0.8833333333333332,100000.0,612064.9350649351,7000000.0,0.8523824044424678,0.3,6,1,53.056,Moyen,5,Commerce,3.4339872044851463,1
2485_-428,33.58518,-7.548406,Casablanca,128,128,0.861247947454844,100000.0,345925.8206672,12500000.0,0.8202099355643766,0.286152162014231,28,12,57.092222222222226,Fort,9,Construction,4.859812404361672,2
